medicine_id,medicine_name,category,sales_date,sales_quantity,unit_price,address,customer,feedback,quantity,amount,sales,growth,quarterly_revenue_Q1,quarterly_revenue_Q2,quarterly_revenue_Q3,quarterly_revenue_Q4
201,Paracetamol,Pain Relief,2024-12-01,500,1.50,"123 Main St, Ho Chi Minh City","Nguyen Van A","Very effective",500,500,750.00,10%,2000.00,2500.00,3000.00,3500.00
202,Ibuprofen,Pain Relief,2024-12-01,300,2.00,"456 Secondary St, Hanoi","Tran Thi B","Good for headaches",300,300,600.00,5%,1500.00,1800.00,2100.00,2400.00
203,Amoxicillin,Antibiotic,2024-12-01,200,3.00,"789 Tree St, Da Nang","Le Van C","Helped with infection",200,200,600.00,15%,1200.00,1400.00,1600.00,1800.00
204,Loratadine,Allergy,2024-12-02,150,1.20,"321 Informal St, Hai Phong","Pham Thi D","Relieved my allergies",150,150,180.00,20%,600.00,700.00,800.00,900.00
205,Omeprazole,Acidity,2024-12-02,100,4.50,"654 Ancient St, Can Tho","Nguyen Van E","Effective for heartburn",100,100,450.00,8%,900.00,1000.00,1100.00,1200.00
206,Metformin,Diabetes,2024-12-03,250,2.50,"987 White St, Nha Trang","Diana Green","Helps control blood sugar",250,250,625.00,12%,1500.00,1800.00,2100.00,2400.00
207,Simvastatin,Cholesterol,2024-12-03,180,3.50,"159 Informal St, Vung Tau","Ethan Black","Lowered my cholesterol",180,180,630.00,10%,1200.00,1400.00,1600.00,1800.00
208,Levothyroxine,Thyroid,2024-12-04,220,4.00,"753 Tree St, Hue","Fiona Blue","Regulated my thyroid",220,220,880.00,5%,1000.00,1200.00,1400.00,1600.00
209,Sertraline,Antidepressant,2024-12-04,130,5.00,"852 Willow St, Quy Nhon","George Red","Helped with my anxiety",130,130,650.00,15%,800.00,900.00,1000.00,1100.00
210,Amlodipine,Hypertension,2024-12-05,170,2.75,"963 Informal St, Da Lat","Hannah Yellow","Lowered my blood pressure",170,170,467.50,10%,900.00,1100.00,1300.00,1500.00
211,Ciprofloxacin,Antibiotic,2024-12-05,90,4.00,"147 Seed St, Phan Thiet","Ian Purple","Effective for UTIs",90,90,360.00,5%,500.00,600.00,700.00,800.00
212,Hydrochlorothiazide,Diuretic,2024-12-06,160,1.80,"258 Walnut St, Long Xuyen","Judy Orange","Helped with fluid retention",160,160,288.00,12%,700.00,800.00,900.00,1000.00
213,Fluticasone,Allergy,2024-12-06,140,3.20,"369 Ash St, My Tho","Kevin Pink","Great for nasal congestion",140,140,448.00,8%,600.00,700.00,800.00,900.00
214,Montelukast,Asthma,2024-12-07,110,4.00,"480 Informal St, Bac Ninh","Laura Gray","Reduced my asthma symptoms",110,110,440.00,10%,500.00,600.00,700.00,800.00
215,Atorvastatin,Cholesterol,2024-12-07,130,3.80,"159 Pine St, Thai Nguyen","Michael Brown","Lowered my cholesterol levels",130,130,494.00,15%,800.00,900.00,1000.00,1100.00
216,Clopidogrel,Antiplatelet,2024-12-08,140,2.50,"258 Maple St, Vinh","Nancy White","Prevented blood clots",140,140,350.00,12%,600.00,700.00,800.00,900.00
217,Levocetirizine,Allergy,2024-12-08,160,1.90,"369 Cedar St, Ha Long","Oscar Green","Effective for allergies",160,160,304.00,10%,700.00,800.00,900.00,1000.00
218,Esomeprazole,Acidity,2024-12-09,120,4.20,"480 Oak St, Nam Dinh","Patricia Blue","Great for acid reflux",120,120,504.00,5%,600.00,700.00,800.00,900.00
